Food,Categlory,ID,Carbs,Calories,Protien,Fat,Measure
CREAM SUBSTITUTE,"CREAM SUBSTITUTE,POWDERED",1069,54.88,545,4.79,35.48,1 cup
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",1070,52.54,577,4.9,39.92,1.5 oz
DESSERT TOPPING,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",1071,16.53,188,3.6,12.41,1 cup
DESSERT TOPPING,"DESSERT TOPPING,PRESSURIZED",1072,16.07,264,0.98,22.3,1 cup
DESSERT TOPPING,"DESSERT TOPPING,SEMI SOLID,FRZ",1073,23.05,318,1.25,25.31,1 cup
SOUR CRM,"SOUR CRM,IMITN,CULTURED",1074,6.63,208,2.4,19.52,1 cup
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",1075,6.16,61,1.75,3.41,1 cup
MILK SUBSTITUTES,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",1076,6.16,61,1.75,3.41,1 cup
MILK,"MILK,WHL,3.25% MILKFAT",1077,4.52,60,3.22,3.25,1 cup
MILK,"MILK,PRODUCER,FLUID,3.7% MILKFAT",1078,4.65,64,3.28,3.66,1 cup
MILK,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A",1079,4.68,50,3.3,1.97,1 cup
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",1080,4.97,51,3.48,1.92,1 cup
MILK,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",1081,5.49,56,3.95,1.98,1 cup
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",1082,4.99,42,3.37,0.97,1 cup
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",1083,4.97,43,3.48,0.97,1 cup
MILK,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",1084,5.52,48,3.93,1.17,1 cup
MILK,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",1085,4.96,34,3.37,0.08,1 cup
MILK,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",1086,5.02,37,3.57,0.25,1 cup
